,insurance_price,registration_year,model,type,gearbox,power,mileage,fuel,brand,damage,price
47312,140.0,1996,polo,small car,manual,60,50000,gasoline,volkswagen,0.0,2093
26119,90.0,2004,astra,station wagon,manual,101,150000,diesel,opel,0.0,1355
41975,,4,twingo,small car,manual,58,125000,gasoline,renault,0.0,1719
53983,40.0,1999,astra,limousine,manual,101,150000,gasoline,opel,0.0,910
84631,610.0,2010,polo,small car,manual,90,125000,diesel,volkswagen,0.0,6825
25004,470.0,2004,3er,station wagon,manual,192,90000,gasoline,bmw,0.0,8599
10137,620.0,2009,megane,coupé,auto,140,50000,gasoline,renault,0.0,8372
45094,30.0,2000,focus,station wagon,manual,116,150000,gasoline,ford,0.0,837
1113,570.0,2011,andere,bus,manual,116,125000,diesel,ford,0.0,8918
10180,310.0,1984,andere,coupé,manual,0,30000,gasoline,porsche,,2679
41238,90.0,2004,clio,small car,manual,44,150000,gasoline,renault,,1410
54362,,11,e_klasse,limousine,auto,0,150000,diesel,mercedes_benz,0.0,13013
95083,690.0,2008,1er,limousine,manual,122,150000,gasoline,bmw,1.0,6279
49050,240.0,2005,a3,limousine,,0,150000,diesel,audi,,3276
29304,530.0,2007,transporter,bus,manual,131,150000,diesel,volkswagen,0.0,5915
27893,100.0,2016,clubman,,manual,109,150000,,mini,0.0,8099
73287,110.0,1998,c_klasse,limousine,manual,0,150000,gasoline,mercedes_benz,0.0,1638
93611,490.0,2007,5_reihe,bus,manual,143,150000,diesel,mazda,0.0,4504
14588,450.0,2010,andere,small car,manual,156,50000,gasoline,citroen,0.0,9555
16433,50.0,1998,astra,limousine,manual,101,150000,gasoline,opel,0.0,1173
34151,100.0,1999,,station wagon,manual,101,150000,gasoline,audi,1.0,773
84476,1610.0,2008,tt,coupé,manual,272,100000,gasoline,audi,,21385
47000,,2016,a6,,auto,179,150000,,audi,0.0,2593
72125,290.0,2003,6_reihe,station wagon,manual,141,150000,gasoline,mazda,0.0,3549
57316,270.0,2010,,other,auto,15,5000,gasoline,sonstige_autos,,3185
47315,,99,corsa,small car,auto,65,125000,gasoline,opel,,1092
95640,60.0,2001,andere,small car,,0,50000,,citroen,,1365
6678,60.0,1998,corsa,small car,auto,58,100000,gasoline,opel,,864
50081,,95,a4,limousine,auto,125,40000,gasoline,audi,0.0,4186
75787,90.0,1998,e_klasse,limousine,auto,95,150000,diesel,mercedes_benz,1.0,910
40343,480.0,2006,a6,station wagon,auto,170,150000,gasoline,audi,0.0,8827
10070,120.0,2004,2_reihe,small car,manual,75,150000,gasoline,peugeot,0.0,1911
69739,90.0,1994,100,station wagon,manual,150,150000,liquefied petroleum gas,audi,0.0,591
13445,650.0,2013,ibiza,small car,manual,69,50000,gasoline,seat,0.0,9054
72284,80.0,1999,passat,station wagon,manual,100,150000,gasoline,volkswagen,,1092
38190,60.0,1996,golf,limousine,manual,116,150000,gasoline,volkswagen,0.0,1456
99868,140.0,1998,berlingo,bus,manual,75,150000,gasoline,citroen,1.0,545
76620,290.0,2006,passat,station wagon,manual,131,150000,diesel,volkswagen,0.0,4231
26588,,2016,3er,,manual,140,150000,gasoline,bmw,,1683
50755,630.0,2010,one,small car,manual,98,50000,gasoline,mini,0.0,9919
91619,230.0,1991,andere,limousine,manual,122,125000,gasoline,mercedes_benz,0.0,5915
40751,1000.0,2012,golf,bus,manual,105,60000,gasoline,volkswagen,0.0,10920
79076,240.0,2005,fortwo,small car,auto,41,80000,diesel,smart,0.0,2957
65179,870.0,2008,3er,limousine,manual,143,125000,gasoline,bmw,0.0,8180
63542,210.0,2003,beetle,limousine,manual,102,125000,gasoline,volkswagen,0.0,3549
70810,160.0,2004,focus,small car,manual,101,150000,gasoline,ford,1.0,1001
98772,200.0,2005,polo,small car,auto,75,90000,gasoline,volkswagen,0.0,3003
69792,130.0,1997,,other,manual,0,60000,gasoline,sonstige_autos,,2730
22483,160.0,2001,c_klasse,coupé,auto,0,150000,diesel,mercedes_benz,,1547
26074,360.0,2011,picanto,small car,manual,65,40000,gasoline,kia,0.0,5369
56778,600.0,2005,x_reihe,limousine,auto,218,150000,diesel,bmw,1.0,7280
34248,1240.0,2013,golf,limousine,manual,230,40000,gasoline,volkswagen,0.0,20010
90193,100.0,1995,transporter,,manual,68,150000,diesel,volkswagen,,773
67979,150.0,2003,polo,small car,manual,47,150000,,volkswagen,0.0,2502
30087,,9,3er,convertible,manual,170,150000,diesel,bmw,0.0,16835
45046,,99,sprinter,bus,manual,120,150000,diesel,mercedes_benz,,3185
87684,200.0,2003,andere,bus,manual,158,150000,gasoline,peugeot,0.0,2639
42131,240.0,2003,kangoo,other,manual,95,150000,gasoline,renault,0.0,2684
98743,1080.0,2006,3er,limousine,auto,231,150000,diesel,bmw,1.0,9873
2622,100.0,2002,fortwo,coupé,auto,61,100000,gasoline,smart,1.0,1547
69933,1330.0,2006,3er,station wagon,auto,231,150000,diesel,bmw,0.0,14104
66396,190.0,2003,transporter,bus,manual,102,150000,diesel,volkswagen,0.0,3185
63212,,16,,,manual,0,150000,,fiat,1.0,909
58831,340.0,2010,andere,small car,manual,98,90000,gasoline,toyota,0.0,4540
78446,90.0,1998,corsa,small car,manual,54,150000,gasoline,opel,0.0,682
1535,160.0,2004,,bus,manual,101,150000,gasoline,mazda,0.0,2547
57476,1120.0,2007,transporter,bus,manual,174,125000,diesel,volkswagen,0.0,22750
12303,500.0,2006,leon,limousine,manual,200,150000,gasoline,seat,0.0,6825
5435,440.0,2006,c_klasse,station wagon,manual,143,125000,gasoline,mercedes_benz,0.0,6279
24623,70.0,2000,fortwo,small car,auto,54,150000,gasoline,smart,0.0,1164
78203,80.0,2000,grand,,auto,0,150000,gasoline,jeep,,2093
95402,,83,andere,,manual,75,10000,gasoline,volkswagen,0.0,7143
97778,50.0,2001,,small car,manual,0,150000,gasoline,volkswagen,,728
50090,140.0,1997,5er,limousine,auto,193,150000,liquefied petroleum gas,bmw,0.0,3185
15600,820.0,2008,3er,limousine,auto,177,150000,diesel,bmw,0.0,9009
45188,240.0,2009,ka,small car,manual,69,50000,gasoline,ford,0.0,3339
38167,70.0,1998,focus,small car,manual,0,125000,,ford,0.0,910
4620,360.0,2007,ibiza,small car,manual,86,100000,gasoline,seat,0.0,3630
39965,130.0,2001,a_klasse,small car,manual,95,150000,diesel,mercedes_benz,,1501
45294,40.0,1991,5er,limousine,manual,150,150000,gasoline,bmw,0.0,1319
27090,80.0,2003,,station wagon,manual,106,150000,gasoline,sonstige_autos,0.0,728
3601,,2016,andere,,manual,0,150000,gasoline,suzuki,,500
19169,,0,,,,0,5000,gasoline,volkswagen,,500
57242,,2016,caddy,,,0,150000,liquefied petroleum gas,volkswagen,0.0,2002
30784,440.0,2012,golf,station wagon,manual,105,150000,diesel,volkswagen,0.0,6178
1855,240.0,2002,mondeo,station wagon,manual,116,150000,diesel,ford,0.0,2957
28313,320.0,1999,tt,coupé,manual,240,100000,gasoline,audi,0.0,5232
73979,40.0,2000,andere,,manual,90,150000,gasoline,citroen,0.0,1183
37642,80.0,2001,ka,small car,manual,69,125000,gasoline,ford,0.0,682
48351,300.0,2005,fabia,station wagon,manual,75,125000,gasoline,skoda,,2639
72788,220.0,2005,,station wagon,manual,125,5000,gasoline,opel,0.0,2957
75234,30.0,2016,,,manual,101,150000,,audi,1.0,682
86450,,14,tiguan,,manual,177,40000,diesel,volkswagen,0.0,27209
1251,90.0,1997,vectra,station wagon,manual,0,150000,,opel,0.0,728
49257,340.0,2009,fortwo,small car,,61,80000,gasoline,smart,0.0,5096
69342,270.0,1983,andere,station wagon,auto,125,150000,diesel,mercedes_benz,0.0,2275
93589,190.0,2004,fabia,station wagon,manual,101,60000,gasoline,skoda,0.0,4049
43868,720.0,2004,a4,limousine,manual,163,150000,gasoline,audi,0.0,4823
1275,1820.0,2011,a5,convertible,auto,239,90000,diesel,audi,0.0,25389
91220,70.0,1999,astra,convertible,manual,75,150000,gasoline,opel,0.0,864
42866,180.0,2003,corsa,small car,auto,75,125000,gasoline,opel,0.0,2002
35533,500.0,2010,scirocco,coupé,manual,160,125000,gasoline,volkswagen,0.0,8326
42393,480.0,2008,c4,limousine,auto,109,150000,diesel,citroen,0.0,7644
63518,190.0,2008,corsa,small car,manual,125,150000,diesel,opel,0.0,3822
89581,30.0,2001,a_klasse,limousine,manual,95,150000,diesel,mercedes_benz,0.0,1456
17623,100.0,2000,a_klasse,limousine,auto,102,150000,gasoline,mercedes_benz,0.0,1046
54588,350.0,2008,transporter,bus,manual,174,150000,diesel,volkswagen,0.0,4459
19412,40.0,1997,golf,station wagon,manual,101,150000,gasoline,volkswagen,0.0,910
25296,400.0,2013,up,small car,manual,60,20000,gasoline,volkswagen,0.0,7735
92586,1000.0,1985,andere,coupé,auto,231,150000,gasoline,mercedes_benz,0.0,14105
75220,10.0,2016,twingo,,manual,75,125000,gasoline,renault,0.0,954
56318,540.0,2007,a4,limousine,manual,102,125000,gasoline,audi,0.0,8189
71647,1950.0,2012,e_klasse,limousine,auto,170,60000,diesel,mercedes_benz,0.0,21840
85990,,2016,passat,,auto,140,60000,diesel,volkswagen,,13377
45085,260.0,2004,focus,limousine,manual,101,150000,gasoline,ford,1.0,2184
61749,80.0,2005,andere,,auto,106,150000,gasoline,suzuki,0.0,1456
97736,10.0,2016,punto,,,0,150000,diesel,fiat,,546
13359,140.0,1999,golf,small car,manual,75,150000,gasoline,volkswagen,0.0,1729
20586,140.0,1999,passat,limousine,manual,101,150000,gasoline,volkswagen,0.0,1820
41352,50.0,2002,andere,small car,manual,58,100000,gasoline,hyundai,0.0,1092
58877,200.0,2008,polo,small car,manual,69,125000,gasoline,volkswagen,0.0,4368
72345,170.0,1999,passat,station wagon,auto,150,150000,gasoline,volkswagen,0.0,1501
41954,70.0,2002,nubira,,manual,124,150000,gasoline,daewoo,0.0,773
27805,70.0,2000,andere,bus,manual,101,150000,gasoline,mazda,0.0,909
44280,150.0,1999,civic,limousine,manual,90,125000,gasoline,honda,0.0,2138
21100,460.0,2011,octavia,station wagon,manual,170,80000,diesel,skoda,0.0,14105
25149,90.0,2004,focus,limousine,manual,101,150000,gasoline,ford,0.0,1455
20597,310.0,2002,andere,limousine,manual,224,150000,gasoline,audi,0.0,6597
42377,60.0,2016,80,,manual,115,150000,gasoline,audi,,3185
12560,120.0,1980,andere,,,0,150000,,volkswagen,,864
25449,140.0,2004,megane,limousine,manual,98,150000,gasoline,renault,0.0,1683
66226,590.0,2005,andere,limousine,auto,0,150000,gasoline,mercedes_benz,0.0,8463
78744,110.0,1997,polo,station wagon,manual,75,150000,gasoline,volkswagen,0.0,590
44046,150.0,2002,corsa,small car,manual,75,125000,gasoline,opel,0.0,1729
32846,,2016,,,manual,115,150000,gasoline,bmw,,2639
99032,150.0,2000,156,limousine,manual,140,150000,diesel,alfa_romeo,,1638
54125,2220.0,1980,100,,auto,101,40000,gasoline,audi,0.0,13650
66779,160.0,2005,a3,,manual,0,150000,diesel,audi,0.0,3185
38432,90.0,2003,andere,convertible,manual,136,150000,gasoline,peugeot,,728
48496,1750.0,1966,andere,,manual,71,10000,gasoline,ford,0.0,10465
67992,520.0,2009,golf,limousine,manual,80,80000,gasoline,volkswagen,0.0,7553
2891,60.0,1999,focus,limousine,manual,116,150000,gasoline,ford,0.0,1365
14781,280.0,2011,twingo,small car,manual,75,60000,gasoline,renault,0.0,3776
6402,90.0,1997,galaxy,bus,manual,145,150000,gasoline,ford,0.0,1001
83943,90.0,1997,a4,limousine,manual,150,150000,gasoline,audi,,1819
33974,140.0,2004,laguna,station wagon,manual,120,150000,diesel,renault,0.0,1592
27905,200.0,2009,,small car,manual,68,60000,gasoline,peugeot,,3640
1493,890.0,2007,touran,bus,manual,170,125000,diesel,volkswagen,0.0,10465
248,1840.0,2005,6er,coupé,auto,367,150000,gasoline,bmw,0.0,23659
46767,50.0,1999,civic,small car,manual,75,90000,gasoline,honda,0.0,1091
89582,600.0,2013,fabia,station wagon,manual,69,50000,gasoline,skoda,0.0,8189
79544,100.0,2002,polo,small car,manual,75,20000,gasoline,volkswagen,0.0,2093
66145,260.0,2005,3er,limousine,manual,163,150000,diesel,bmw,,3776
41440,80.0,1996,mondeo,station wagon,manual,116,150000,gasoline,ford,0.0,637
23637,580.0,2007,3er,station wagon,auto,163,150000,diesel,bmw,0.0,6360
40545,460.0,2011,focus,station wagon,,0,90000,diesel,ford,0.0,8417
49019,190.0,2004,a3,limousine,manual,140,150000,diesel,audi,0.0,4186
23346,590.0,2009,scirocco,coupé,manual,160,125000,gasoline,volkswagen,0.0,8099
460,40.0,2002,zafira,bus,manual,97,150000,gasoline,opel,0.0,1046
327,130.0,2009,corsa,small car,manual,80,125000,gasoline,opel,0.0,3458
27162,800.0,2006,golf,limousine,manual,250,125000,gasoline,volkswagen,0.0,12649
32999,260.0,1991,golf,limousine,manual,98,150000,gasoline,volkswagen,0.0,3458
65910,280.0,2005,andere,station wagon,manual,175,125000,gasoline,saab,1.0,2366
88865,160.0,2009,aygo,small car,auto,68,20000,gasoline,toyota,0.0,3594
21701,400.0,1983,andere,limousine,manual,136,150000,gasoline,mercedes_benz,0.0,4368
63869,200.0,2001,c_klasse,limousine,manual,105,150000,diesel,mercedes_benz,0.0,2457
27613,,1997,twingo,small car,manual,55,150000,gasoline,renault,,500
77001,1250.0,2008,scirocco,coupé,auto,140,80000,diesel,volkswagen,0.0,12285
74122,220.0,2000,lupo,small car,manual,0,100000,,volkswagen,,1819
6379,150.0,2003,mondeo,limousine,auto,140,150000,,ford,1.0,910
22572,180.0,2007,corsa,small car,manual,80,80000,gasoline,opel,0.0,3458
84406,50.0,2003,agila,small car,manual,58,150000,gasoline,opel,,1446
6668,80.0,1998,fiesta,small car,manual,60,150000,gasoline,ford,0.0,728
19660,510.0,2013,octavia,limousine,manual,105,100000,diesel,skoda,0.0,11375
20232,620.0,2009,v70,station wagon,manual,160,150000,diesel,volvo,0.0,8736
79880,1730.0,2001,m_reihe,coupé,manual,343,80000,gasoline,bmw,,21839
17669,80.0,2001,twingo,small car,manual,58,150000,gasoline,renault,0.0,682
35369,380.0,2000,clk,coupé,auto,163,40000,gasoline,mercedes_benz,0.0,5369
10890,70.0,2000,golf,station wagon,manual,101,150000,,volkswagen,0.0,1274
33752,1080.0,2007,andere,bus,auto,190,150000,diesel,mercedes_benz,0.0,17062
70615,,2016,kangoo,,manual,75,150000,gasoline,renault,0.0,882
36155,70.0,2004,modus,bus,manual,0,90000,gasoline,renault,0.0,1820
55237,1080.0,1977,kaefer,convertible,manual,50,100000,gasoline,volkswagen,0.0,7734
7809,140.0,2001,3er,limousine,manual,116,150000,gasoline,bmw,1.0,864
65661,,15,tiguan,,auto,177,20000,diesel,volkswagen,0.0,29939
88169,190.0,2001,5er,station wagon,auto,231,150000,gasoline,bmw,0.0,4094
55326,110.0,2001,3_reihe,station wagon,manual,90,150000,diesel,peugeot,1.0,819
38962,70.0,1998,3_reihe,limousine,manual,74,150000,gasoline,mazda,0.0,1091
52552,2320.0,2013,3er,convertible,auto,245,40000,diesel,bmw,0.0,32658
73061,120.0,2004,c2,small car,manual,75,150000,gasoline,citroen,0.0,1547
55623,50.0,1998,twingo,small car,manual,58,150000,gasoline,renault,0.0,900
64619,,9,m_klasse,,auto,306,150000,diesel,mercedes_benz,0.0,24479
84380,420.0,2009,golf,station wagon,auto,122,125000,gasoline,volkswagen,0.0,8099
12619,110.0,2005,fiesta,small car,manual,60,150000,gasoline,ford,0.0,728
46543,140.0,2000,omega,limousine,manual,144,100000,gasoline,opel,0.0,1911
50072,,86,andere,limousine,manual,105,150000,gasoline,mercedes_benz,0.0,1819
42097,70.0,2004,2_reihe,small car,manual,88,125000,gasoline,peugeot,,2274
38371,70.0,1995,polo,small car,manual,0,150000,gasoline,volkswagen,0.0,773
171,130.0,2000,golf,convertible,manual,101,150000,gasoline,volkswagen,0.0,1815
63466,560.0,2003,c_klasse,station wagon,auto,170,150000,gasoline,mercedes_benz,0.0,6096
32024,80.0,2005,zafira,,manual,0,150000,gasoline,opel,,1456
62514,,9,e_klasse,limousine,auto,231,150000,diesel,mercedes_benz,0.0,19929
91621,550.0,2007,3er,coupé,manual,197,150000,diesel,bmw,0.0,11739
75267,450.0,2006,e_klasse,station wagon,auto,224,150000,diesel,mercedes_benz,0.0,9099
64616,120.0,1993,andere,,manual,125,150000,gasoline,opel,0.0,1001
99320,1600.0,2010,5er,limousine,auto,204,150000,diesel,bmw,0.0,19929
4804,1610.0,2012,q5,,auto,239,125000,diesel,audi,0.0,29120
89713,1020.0,2013,vito,bus,manual,163,80000,diesel,mercedes_benz,0.0,16835
49582,90.0,2007,aveo,small car,auto,69,60000,gasoline,chevrolet,,2002
19209,60.0,2002,almera,small car,manual,114,150000,diesel,nissan,,910
9991,100.0,2005,2_reihe,small car,manual,75,150000,gasoline,peugeot,0.0,1547
60758,,1,seicento,small car,manual,59,150000,gasoline,fiat,,455
98365,170.0,1999,e_klasse,station wagon,auto,196,150000,diesel,mercedes_benz,,1592
38470,430.0,2005,a6,limousine,manual,224,150000,diesel,audi,0.0,7917
86825,720.0,2013,superb,station wagon,manual,125,40000,gasoline,skoda,0.0,17199
15247,190.0,2007,2_reihe,convertible,manual,144,150000,diesel,peugeot,0.0,3822
95222,160.0,2002,fiesta,small car,manual,68,150000,diesel,ford,0.0,1501
11471,550.0,2006,,limousine,manual,75,125000,,mercedes_benz,0.0,5005
32247,130.0,1999,,bus,manual,0,150000,,citroen,1.0,546
13278,320.0,2006,jetta,limousine,manual,101,125000,gasoline,volkswagen,0.0,5268
88963,2110.0,2009,cayenne,,auto,239,150000,diesel,porsche,0.0,20839
22159,100.0,1989,golf,limousine,manual,69,150000,gasoline,volkswagen,0.0,773
57146,190.0,2009,c4,limousine,manual,120,125000,gasoline,citroen,0.0,4914
42557,,10,a3,station wagon,manual,140,150000,diesel,audi,0.0,12093
39619,,97,e_klasse,limousine,manual,1362,150000,gasoline,mercedes_benz,1.0,728
34290,140.0,2004,a_klasse,small car,manual,70,150000,diesel,mercedes_benz,1.0,1092
29419,,1996,3er,limousine,manual,102,150000,gasoline,bmw,0.0,500
30656,230.0,2003,touareg,,manual,0,150000,diesel,volkswagen,,4095
34677,260.0,2008,andere,bus,manual,120,150000,diesel,citroen,0.0,2684
68884,3140.0,2003,911,coupé,manual,345,150000,gasoline,porsche,0.0,49059
72915,470.0,2010,polo,limousine,manual,69,50000,gasoline,volkswagen,,6370
50786,100.0,2003,andere,limousine,manual,102,150000,gasoline,kia,0.0,546
151,70.0,1998,punto,small car,manual,60,150000,gasoline,fiat,0.0,1137
81747,1660.0,2011,x_reihe,limousine,auto,245,150000,diesel,bmw,0.0,25935
62647,410.0,2004,,station wagon,manual,218,150000,diesel,bmw,0.0,5733
33855,820.0,2013,beetle,convertible,auto,211,30000,gasoline,volkswagen,0.0,24196
70637,50.0,2004,corsa,small car,manual,75,125000,gasoline,opel,0.0,1365
72434,170.0,2010,fortwo,small car,auto,61,70000,gasoline,smart,0.0,4049
83538,1390.0,2006,a4,convertible,auto,256,100000,gasoline,audi,1.0,12694
92573,,9,golf,small car,auto,152,125000,gasoline,volkswagen,0.0,8372
68823,40.0,1998,andere,bus,manual,109,150000,diesel,citroen,,1001
3776,170.0,2001,zafira,bus,manual,101,150000,diesel,opel,,1683
62518,1030.0,2009,,,auto,396,125000,liquefied petroleum gas,sonstige_autos,0.0,25389
73250,230.0,2004,laguna,station wagon,auto,207,150000,gasoline,renault,0.0,2717
21348,50.0,2000,caddy,,manual,0,150000,diesel,volkswagen,,637
93456,90.0,1994,850,station wagon,manual,170,150000,gasoline,volvo,0.0,1092
2058,110.0,2004,carisma,limousine,manual,125,150000,gasoline,mitsubishi,,1819
30612,580.0,2008,c_klasse,limousine,manual,156,150000,gasoline,mercedes_benz,1.0,6825
8060,,2016,a3,,,90,150000,diesel,audi,,1046
70022,150.0,2001,c_klasse,limousine,manual,143,150000,diesel,mercedes_benz,0.0,3030
92334,80.0,2002,ka,small car,manual,60,125000,gasoline,ford,0.0,818
60506,180.0,2002,sharan,station wagon,manual,115,150000,diesel,volkswagen,,1820
14023,140.0,2001,lupo,small car,manual,50,100000,gasoline,volkswagen,,1638
3914,450.0,2007,touran,bus,manual,140,150000,diesel,volkswagen,,7583
1582,80.0,2002,passat,station wagon,manual,101,150000,diesel,volkswagen,,1274
25642,100.0,2002,seicento,limousine,manual,0,150000,gasoline,fiat,,1364
49702,100.0,2000,mondeo,station wagon,manual,91,150000,diesel,ford,,791
25806,80.0,2001,ka,small car,manual,60,80000,gasoline,ford,1.0,728
16565,550.0,2004,e_klasse,limousine,auto,163,150000,gasoline,mercedes_benz,0.0,5915
45253,,98,3er,limousine,manual,0,150000,gasoline,bmw,0.0,1183
60441,80.0,2002,5er,limousine,auto,193,150000,diesel,bmw,0.0,3549
19061,270.0,2003,3er,station wagon,auto,170,150000,gasoline,bmw,0.0,5733
30838,50.0,1992,polo,small car,manual,55,150000,gasoline,volkswagen,0.0,1001
96657,150.0,2002,v70,station wagon,auto,0,30000,gasoline,volvo,,1547
