,insurance_price,registration_year,model,type,gearbox,power,mileage,fuel,brand,damage,price
23605,,2000,,bus,manual,139,150000,gasoline,sonstige_autos,0.0,455
57455,,2016,astra,,manual,75,150000,,opel,1.0,455
51070,,2016,polo,,manual,40,150000,gasoline,volkswagen,,455
26645,,2005,polo,,manual,75,150000,diesel,volkswagen,,455
32335,,1998,lupo,small car,manual,50,125000,gasoline,volkswagen,1.0,455
90755,,2000,a6,station wagon,auto,193,150000,gasoline,audi,1.0,455
81265,,1991,3er,limousine,manual,0,150000,gasoline,bmw,0.0,455
81740,,1999,,small car,auto,54,90000,gasoline,smart,,455
50140,,2000,corsa,small car,manual,64,150000,gasoline,opel,,455
49560,,2001,v40,station wagon,manual,120,150000,gasoline,volvo,,455
49575,,1999,golf,limousine,manual,75,150000,gasoline,volkswagen,0.0,455
30115,,1997,polo,small car,manual,54,150000,,volkswagen,0.0,455
88465,,2001,carisma,limousine,manual,102,150000,diesel,mitsubishi,0.0,455
40705,,1999,focus,limousine,manual,101,150000,gasoline,ford,1.0,455
90855,,2000,fiesta,small car,manual,60,150000,gasoline,ford,0.0,455
39905,,1999,a4,limousine,manual,101,150000,gasoline,audi,0.0,455
8610,,1995,3er,small car,manual,140,150000,gasoline,bmw,1.0,455
66455,,1997,golf,limousine,manual,90,150000,diesel,volkswagen,1.0,455
33840,,96,almera,limousine,manual,75,125000,gasoline,nissan,0.0,455
66345,,2002,mondeo,station wagon,,0,150000,gasoline,ford,,455
6600,,1997,twingo,small car,manual,60,150000,gasoline,renault,0.0,455
36090,,2002,andere,bus,auto,155,150000,gasoline,ford,1.0,455
24820,,95,ibiza,small car,manual,63,150000,gasoline,seat,,455
70220,,2000,2_reihe,small car,manual,109,150000,diesel,peugeot,0.0,455
88885,,1997,1_reihe,small car,manual,54,150000,gasoline,peugeot,0.0,455
43780,,1988,andere,limousine,manual,160,150000,gasoline,mercedes_benz,1.0,455
13575,,1996,3er,coupé,manual,102,150000,gasoline,bmw,0.0,455
20580,,1995,3_reihe,limousine,manual,114,150000,gasoline,mazda,0.0,455
27615,,1997,,limousine,manual,90,100000,gasoline,renault,,455
65990,,1997,c_klasse,limousine,manual,0,150000,gasoline,mercedes_benz,1.0,455
9510,,1999,2_reihe,small car,manual,60,150000,gasoline,peugeot,1.0,455
60445,,2003,focus,limousine,manual,100,150000,diesel,ford,,455
99650,,2001,sirion,small car,manual,58,125000,gasoline,daihatsu,,455
11230,,2000,andere,limousine,auto,141,150000,gasoline,hyundai,,455
95175,,1998,fiesta,small car,manual,75,100000,gasoline,ford,0.0,455
4880,,1998,5er,station wagon,manual,150,150000,gasoline,bmw,1.0,455
9945,,1997,astra,station wagon,auto,75,150000,gasoline,opel,1.0,455
32485,,1998,a4,station wagon,manual,170,150000,gasoline,audi,0.0,455
53615,,1993,golf,small car,manual,115,150000,gasoline,volkswagen,0.0,455
71855,,2016,,,,0,150000,,audi,,455
51305,,1997,primera,limousine,manual,0,150000,gasoline,nissan,,455
85680,,98,omega,station wagon,manual,170,150000,gasoline,opel,0.0,455
5310,,2001,agila,small car,manual,0,150000,gasoline,opel,0.0,455
17805,,1997,vectra,limousine,manual,116,150000,gasoline,opel,0.0,455
85435,,1998,5er,limousine,manual,150,150000,gasoline,bmw,1.0,455
39595,,2016,golf,,manual,0,150000,gasoline,volkswagen,1.0,455
87620,,1995,andere,,,0,150000,,lancia,,455
53860,,1996,colt,small car,auto,75,150000,gasoline,mitsubishi,0.0,455
79055,,2000,corsa,small car,manual,0,125000,gasoline,opel,1.0,455
395,,2016,berlingo,,manual,75,150000,,citroen,,455
16075,,16,escort,,manual,75,150000,gasoline,ford,,455
50515,,2000,arosa,small car,auto,59,150000,gasoline,seat,1.0,455
18090,,1999,corsa,small car,manual,65,150000,,opel,0.0,455
63785,,1997,megane,limousine,manual,75,125000,gasoline,renault,1.0,455
36220,,5,polo,small car,manual,60,125000,gasoline,volkswagen,,455
48265,,1997,polo,small car,manual,54,150000,gasoline,volkswagen,1.0,455
96730,,2016,passat,,,0,150000,gasoline,volkswagen,,455
67170,,1995,espace,bus,manual,108,150000,gasoline,renault,0.0,455
69690,,1992,passat,station wagon,auto,90,150000,gasoline,volkswagen,0.0,455
95050,,1998,corsa,small car,manual,54,150000,gasoline,opel,0.0,455
97575,,1995,golf,limousine,manual,75,150000,gasoline,volkswagen,0.0,455
47945,,16,,,,69,150000,,opel,,455
76850,,2003,lupo,small car,manual,40,150000,gasoline,volkswagen,1.0,455
42285,,1998,andere,limousine,manual,0,150000,gasoline,rover,,455
82635,,2016,andere,,manual,60,125000,,peugeot,0.0,455
70505,,1994,,limousine,manual,851,150000,gasoline,bmw,,455
92830,,2001,sirion,small car,manual,58,125000,,daihatsu,,455
45730,,2000,andere,small car,manual,60,125000,gasoline,citroen,1.0,455
90045,,1996,astra,limousine,manual,60,125000,gasoline,opel,0.0,455
14490,,1997,3_reihe,limousine,manual,88,150000,gasoline,mazda,,455
54675,,97,golf,limousine,manual,101,150000,gasoline,volkswagen,1.0,455
64640,,1993,astra,station wagon,manual,0,150000,gasoline,opel,1.0,455
40990,,1998,andere,bus,manual,0,20000,liquefied petroleum gas,hyundai,0.0,455
31830,,1997,v40,station wagon,auto,120,150000,gasoline,volvo,,455
21170,,2016,berlingo,,manual,109,150000,gasoline,citroen,1.0,455
60100,,96,sharan,other,manual,116,100000,gasoline,volkswagen,1.0,455
63015,,1998,3_reihe,small car,manual,110,150000,gasoline,peugeot,0.0,455
10075,,1996,polo,small car,manual,124,150000,gasoline,volkswagen,1.0,455
13425,,2016,twingo,,manual,58,150000,gasoline,renault,,455
26945,,2000,andere,limousine,manual,138,150000,gasoline,hyundai,1.0,455
61200,,1998,polo,small car,manual,0,150000,gasoline,volkswagen,0.0,455
9865,,1,ka,small car,manual,0,100000,gasoline,ford,,455
68150,,2016,,,manual,0,150000,gasoline,volkswagen,,455
78325,,1997,golf,convertible,manual,75,150000,gasoline,volkswagen,0.0,455
23595,,2001,2_reihe,small car,manual,69,150000,diesel,peugeot,0.0,455
20170,,2002,golf,convertible,manual,115,150000,gasoline,volkswagen,1.0,455
21415,,1999,focus,station wagon,,0,150000,gasoline,ford,1.0,455
10845,,1997,polo,small car,manual,50,150000,,volkswagen,,455
38605,,1995,fiesta,small car,manual,60,100000,gasoline,ford,,455
95665,,99,golf,station wagon,manual,75,125000,gasoline,volkswagen,1.0,455
4970,,1998,,small car,auto,90,150000,gasoline,mercedes_benz,1.0,455
31260,,1999,arosa,small car,manual,60,150000,diesel,seat,0.0,455
43530,,1993,andere,small car,manual,39,150000,gasoline,fiat,0.0,455
10575,,1996,civic,coupé,manual,101,150000,gasoline,honda,1.0,455
29770,,1996,fiesta,small car,manual,60,90000,gasoline,ford,0.0,455
45135,,1998,voyager,bus,manual,133,150000,gasoline,chrysler,0.0,455
50215,,1996,golf,limousine,manual,75,150000,gasoline,volkswagen,0.0,455
91610,,1992,5er,limousine,manual,150,150000,gasoline,bmw,1.0,455
39100,,1999,andere,bus,manual,103,150000,gasoline,fiat,0.0,455
630,,1996,a4,limousine,manual,0,150000,,audi,0.0,455
46040,,94,3_reihe,small car,manual,75,80000,gasoline,peugeot,0.0,455
97995,,1995,golf,limousine,manual,70,150000,gasoline,volkswagen,1.0,455
76045,,1991,polo,small car,manual,45,125000,gasoline,volkswagen,,455
46765,,1990,golf,limousine,manual,69,150000,gasoline,volkswagen,0.0,455
88550,,1999,corsa,small car,manual,55,150000,gasoline,opel,0.0,455
92135,,2016,charade,,manual,89,90000,,daihatsu,0.0,455
95570,,2000,lupo,,,0,5000,,volkswagen,,455
71930,,1998,fortwo,small car,auto,54,125000,gasoline,smart,1.0,455
97640,,1997,micra,small car,manual,60,150000,gasoline,nissan,0.0,455
69360,,1997,primera,limousine,manual,130,150000,gasoline,nissan,0.0,455
94255,,1995,polo,small car,manual,75,150000,,volkswagen,,455
35825,,1998,clio,small car,manual,60,150000,,renault,,455
33730,,1999,3er,station wagon,,0,150000,gasoline,bmw,,455
53810,,1998,ypsilon,small car,manual,86,90000,gasoline,lancia,0.0,455
24830,,1997,,coupé,manual,60,150000,gasoline,volkswagen,0.0,455
32125,,1998,passat,station wagon,manual,150,150000,gasoline,volkswagen,1.0,455
62575,,1996,golf,limousine,manual,75,150000,gasoline,volkswagen,0.0,455
16675,,1997,corsa,small car,manual,60,150000,gasoline,opel,,455
70590,,1994,corsa,small car,manual,106,150000,gasoline,opel,,455
45495,,1997,civic,limousine,manual,90,150000,gasoline,honda,0.0,455
54725,,1997,golf,station wagon,manual,101,20000,gasoline,volkswagen,1.0,473
37125,,16,850,,manual,144,150000,gasoline,volvo,,482
95885,,1998,a_klasse,small car,manual,102,150000,gasoline,mercedes_benz,0.0,482
44170,,1997,arosa,small car,manual,50,150000,gasoline,seat,0.0,482
23470,,97,polo,small car,manual,60,150000,gasoline,volkswagen,0.0,499
65655,,1998,andere,coupé,manual,90,150000,gasoline,ford,0.0,499
43685,,2001,seicento,small car,manual,58,150000,gasoline,fiat,0.0,499
55560,,1997,,station wagon,manual,125,150000,gasoline,volkswagen,1.0,500
77435,,2000,2_reihe,small car,manual,56,150000,,peugeot,0.0,500
68735,,1999,v40,station wagon,manual,116,150000,gasoline,volvo,0.0,500
39665,,2016,astra,,manual,101,150000,gasoline,opel,0.0,500
72380,,2000,sportage,,manual,128,150000,gasoline,kia,0.0,500
51810,,1996,omega,station wagon,manual,136,150000,gasoline,opel,1.0,500
1015,,1,twingo,small car,manual,75,150000,gasoline,renault,0.0,500
60735,,1999,astra,limousine,manual,65,150000,gasoline,opel,0.0,500
93600,,2016,twingo,,,54,5000,,renault,,500
35405,,1998,andere,limousine,manual,86,150000,gasoline,suzuki,0.0,500
80240,,1996,omega,limousine,manual,170,150000,gasoline,opel,0.0,500
61300,,2002,c5,limousine,manual,207,150000,gasoline,citroen,0.0,500
99125,,1997,polo,small car,manual,60,125000,gasoline,volkswagen,,500
6250,,1996,polo,small car,manual,60,150000,gasoline,volkswagen,0.0,500
80725,,2000,,,,0,150000,,audi,,500
41535,,1996,polo,small car,manual,60,150000,gasoline,volkswagen,0.0,500
15340,,2002,focus,station wagon,manual,90,125000,,ford,1.0,500
15475,,1999,punto,small car,manual,60,150000,gasoline,fiat,0.0,500
90625,,2001,fiesta,small car,manual,50,150000,,ford,,500
71340,,2016,golf,,manual,60,150000,,volkswagen,,500
32070,,2016,twingo,,manual,59,150000,gasoline,renault,0.0,500
80135,,5,ka,,,0,125000,,ford,,500
15230,,1997,vectra,limousine,manual,116,150000,,opel,,500
23645,,1997,a4,limousine,auto,150,150000,gasoline,audi,1.0,500
32730,,1996,a4,limousine,auto,174,150000,gasoline,audi,1.0,500
40345,,1985,601,,,26,150000,,trabant,,500
47845,,1993,80,limousine,manual,90,150000,gasoline,audi,0.0,500
77640,,1998,polo,small car,manual,60,150000,,volkswagen,,500
14215,,2000,focus,station wagon,manual,116,150000,gasoline,ford,0.0,500
68755,,1997,galaxy,bus,manual,145,150000,gasoline,ford,0.0,500
88920,,94,corsa,small car,manual,45,150000,gasoline,opel,0.0,500
61230,,1989,golf,limousine,manual,54,125000,gasoline,volkswagen,1.0,500
17230,,1999,ka,small car,manual,60,150000,gasoline,ford,0.0,500
80480,,2002,corsa,small car,manual,90,20000,,opel,1.0,500
52825,,1996,e_klasse,limousine,manual,150,150000,,mercedes_benz,,500
72025,,2001,mondeo,limousine,manual,170,150000,gasoline,ford,0.0,500
62560,,1998,v40,station wagon,manual,140,150000,gasoline,volvo,0.0,500
19475,,2016,ka,,manual,60,100000,gasoline,ford,0.0,500
91285,,2000,punto,small car,manual,60,150000,gasoline,fiat,0.0,500
11585,,1996,golf,limousine,manual,75,150000,gasoline,volkswagen,,500
90450,,1998,astra,station wagon,manual,75,150000,gasoline,opel,0.0,500
34445,,2000,,small car,manual,56,150000,gasoline,opel,0.0,500
67525,,1997,golf,limousine,manual,60,150000,gasoline,volkswagen,0.0,500
43615,,2001,punto,limousine,manual,0,150000,gasoline,fiat,1.0,500
60905,,1997,polo,small car,manual,75,150000,gasoline,volkswagen,0.0,500
71750,,2015,andere,coupé,auto,380,40000,gasoline,bmw,0.0,500
17280,,1994,3er,limousine,manual,0,150000,gasoline,bmw,0.0,500
7880,,2016,golf,,manual,0,125000,,volkswagen,,500
3965,,2000,focus,station wagon,manual,0,150000,,ford,,500
75655,,2002,stilo,limousine,manual,80,150000,gasoline,fiat,1.0,500
91460,,2000,,station wagon,manual,107,150000,gasoline,renault,1.0,500
46310,,1995,andere,limousine,manual,109,150000,gasoline,volvo,0.0,500
98250,,1995,,station wagon,manual,90,150000,gasoline,volkswagen,0.0,500
71790,,1995,corsa,small car,auto,60,125000,gasoline,opel,0.0,500
69275,,1999,focus,station wagon,manual,75,150000,diesel,ford,,500
9070,,2016,corsa,,manual,45,150000,,opel,,500
17710,,1995,andere,limousine,auto,75,150000,,volkswagen,0.0,500
18535,,1996,polo,small car,manual,60,150000,gasoline,volkswagen,0.0,500
90975,,1999,andere,bus,manual,0,150000,gasoline,mercedes_benz,0.0,500
63320,,1999,octavia,station wagon,manual,101,150000,gasoline,skoda,0.0,500
15830,,2,micra,small car,manual,60,70000,gasoline,nissan,1.0,500
31525,,1998,lupo,small car,manual,50,150000,gasoline,volkswagen,0.0,500
8260,,1999,corsa,small car,manual,54,150000,gasoline,opel,,500
29315,,1999,lupo,small car,manual,75,150000,gasoline,volkswagen,1.0,500
74270,,16,polo,,manual,60,150000,gasoline,volkswagen,0.0,500
17825,,2002,megane,coupé,auto,107,150000,liquefied petroleum gas,renault,0.0,500
55090,,1999,omega,limousine,auto,144,150000,,opel,,500
88555,,1999,andere,small car,manual,54,150000,gasoline,hyundai,0.0,500
81115,,2005,polo,,,60,150000,gasoline,volkswagen,,500
58460,,1995,astra,limousine,manual,71,150000,gasoline,opel,0.0,500
93195,,2016,,,manual,0,150000,gasoline,mazda,1.0,500
23795,,1999,zafira,bus,manual,116,150000,gasoline,opel,,500
61470,,1998,polo,small car,manual,60,150000,gasoline,volkswagen,,500
86455,,1996,polo,small car,manual,55,150000,gasoline,volkswagen,,500
38245,,2001,punto,limousine,manual,60,80000,gasoline,fiat,1.0,500
300,,1995,,bus,auto,0,150000,gasoline,ford,1.0,500
39755,,1995,corsa,small car,manual,45,150000,gasoline,opel,0.0,500
27955,,2002,c5,station wagon,manual,109,150000,diesel,citroen,0.0,500
54190,,1990,80,,,0,5000,,audi,,500
91365,,2016,civic,,,0,150000,gasoline,honda,,500
22775,,1994,3_reihe,coupé,manual,88,150000,gasoline,mazda,1.0,500
65745,,1993,3er,limousine,manual,110,150000,gasoline,bmw,1.0,500
14700,,1997,3_reihe,limousine,manual,88,150000,gasoline,mazda,0.0,500
42080,,88,80,limousine,manual,90,150000,gasoline,audi,0.0,500
93170,,2000,vectra,station wagon,manual,92,150000,diesel,opel,0.0,500
92685,,2016,e_klasse,,manual,0,150000,liquefied petroleum gas,mercedes_benz,1.0,500
22015,,98,andere,coupé,manual,114,150000,gasoline,hyundai,,505
68065,80.0,1999,corsa,small car,,0,90000,gasoline,opel,0.0,505
99640,100.0,1998,mx_reihe,convertible,manual,140,150000,gasoline,mazda,1.0,505
81555,120.0,2000,andere,limousine,auto,0,150000,gasoline,peugeot,1.0,505
56545,70.0,1997,1_reihe,small car,manual,60,150000,gasoline,peugeot,0.0,515
1115,70.0,1998,a_klasse,limousine,,0,150000,gasoline,mercedes_benz,0.0,518
77735,,15,andere,coupé,auto,143,20000,diesel,bmw,0.0,524
41640,50.0,2015,5er,,,0,150000,,bmw,,526
22455,,2016,polo,,manual,0,150000,gasoline,volkswagen,,527
11670,50.0,2001,laguna,limousine,manual,0,150000,gasoline,renault,,536
97620,90.0,2006,ka,small car,manual,60,90000,gasoline,ford,1.0,536
10310,,4,matiz,small car,manual,0,150000,,daewoo,,536
78545,,3,fiesta,small car,manual,60,50000,gasoline,ford,1.0,536
9340,60.0,2000,corsa,small car,manual,54,70000,gasoline,opel,0.0,536
59575,80.0,2001,lupo,small car,manual,50,150000,gasoline,volkswagen,0.0,541
71285,,2016,ibiza,,manual,60,150000,gasoline,seat,,545
1985,80.0,1997,corsa,small car,manual,54,150000,gasoline,opel,0.0,545
45395,60.0,1993,c_klasse,limousine,manual,122,150000,,mercedes_benz,,545
56045,40.0,1995,3er,coupé,manual,102,150000,,bmw,,545
36060,,95,passat,station wagon,manual,116,150000,,volkswagen,0.0,545
37905,70.0,1994,850,station wagon,auto,170,150000,gasoline,volvo,,545
2980,90.0,1999,punto,small car,manual,60,150000,gasoline,fiat,0.0,545
47330,60.0,1993,80,limousine,manual,90,150000,gasoline,audi,0.0,545
46575,160.0,1996,polo,small car,manual,60,150000,gasoline,volkswagen,1.0,545
55035,10.0,2016,145,,manual,103,150000,gasoline,alfa_romeo,,545
50250,120.0,2001,yaris,small car,manual,86,150000,gasoline,toyota,1.0,545
97320,40.0,1998,andere,limousine,auto,0,150000,gasoline,kia,,545
53550,70.0,1999,focus,station wagon,manual,0,150000,gasoline,ford,,545
31945,60.0,1997,micra,small car,manual,50,150000,gasoline,nissan,,545
46470,90.0,2000,,,manual,0,150000,diesel,mercedes_benz,,545
65360,90.0,2000,andere,limousine,manual,90,150000,diesel,citroen,,545
87195,70.0,1996,punto,small car,manual,54,150000,gasoline,fiat,0.0,545
44460,60.0,1996,a4,station wagon,manual,150,150000,gasoline,audi,,545
70930,70.0,1998,3er,coupé,manual,0,150000,gasoline,bmw,0.0,545
97405,110.0,1998,polo,small car,manual,75,150000,gasoline,volkswagen,0.0,545
97740,90.0,1999,a3,limousine,auto,125,150000,gasoline,audi,1.0,545
21905,,2016,twingo,,,59,150000,,renault,,545
56595,90.0,2001,ka,small car,manual,60,150000,gasoline,ford,0.0,545
97180,40.0,1998,corsa,small car,manual,54,125000,gasoline,opel,0.0,545
14325,60.0,2003,focus,station wagon,manual,101,150000,diesel,ford,0.0,546
97550,90.0,1995,6_reihe,limousine,manual,0,150000,gasoline,mazda,0.0,546
34810,140.0,1995,golf,convertible,manual,90,150000,gasoline,volkswagen,1.0,546
67325,70.0,1985,andere,coupé,,0,5000,gasoline,skoda,,546
83635,60.0,1996,corsa,small car,manual,0,150000,gasoline,opel,,546
76360,60.0,1994,3er,limousine,manual,102,150000,gasoline,bmw,0.0,546
76125,,99,laguna,station wagon,manual,107,150000,gasoline,renault,0.0,546
27055,,2016,lanos,,manual,90,150000,,daewoo,,546
26900,90.0,1997,voyager,bus,auto,157,30000,gasoline,chrysler,,546
16875,80.0,2000,a3,,,0,150000,,audi,,546
45565,90.0,2001,corsa,small car,manual,53,150000,gasoline,opel,,546
43290,30.0,1991,transporter,bus,manual,62,150000,diesel,volkswagen,,546
31685,50.0,2000,arosa,small car,auto,50,150000,gasoline,seat,,546
94890,,2016,astra,,manual,75,150000,,opel,0.0,546
97220,80.0,1999,a_klasse,small car,auto,102,150000,gasoline,mercedes_benz,,546
54445,60.0,2000,v40,station wagon,manual,95,150000,diesel,volvo,0.0,546
91000,150.0,1998,escort,station wagon,manual,115,150000,gasoline,ford,1.0,546
38385,80.0,1997,vectra,limousine,manual,115,150000,gasoline,opel,,546
43000,,2016,,,manual,75,150000,gasoline,volkswagen,0.0,546
49705,120.0,1999,3er,station wagon,manual,118,150000,,bmw,1.0,546
350,30.0,2016,astra,,manual,71,150000,,opel,,546
52100,120.0,1998,1_reihe,small car,manual,60,150000,gasoline,peugeot,,546
24535,60.0,1996,145,small car,manual,103,100000,gasoline,alfa_romeo,0.0,546
83395,40.0,2016,v40,,manual,0,150000,diesel,volvo,1.0,546
99900,90.0,1999,fiesta,bus,manual,60,150000,diesel,ford,1.0,546
97400,90.0,2003,twingo,small car,manual,75,150000,gasoline,renault,1.0,546
7725,140.0,2005,a3,station wagon,auto,200,150000,gasoline,audi,1.0,546
75995,130.0,2002,3_reihe,limousine,manual,136,150000,gasoline,peugeot,1.0,546
40040,110.0,2001,twingo,small car,,58,150000,gasoline,renault,0.0,546
9990,10.0,2016,combo,,manual,60,150000,,opel,,546
42940,140.0,1994,80,limousine,manual,90,150000,gasoline,audi,1.0,546
47400,,2016,astra,,manual,0,150000,gasoline,opel,,546
89395,60.0,1999,kangoo,other,manual,75,5000,gasoline,renault,1.0,546
31875,,97,galaxy,bus,manual,85,150000,gasoline,ford,0.0,546
51005,,0,seicento,small car,manual,0,125000,gasoline,fiat,0.0,546
24210,150.0,1997,passat,station wagon,manual,101,150000,gasoline,volkswagen,1.0,546
36720,90.0,1997,andere,small car,manual,54,90000,gasoline,fiat,1.0,546
10875,60.0,2000,v40,station wagon,manual,125,150000,gasoline,volvo,,546
995,40.0,1999,,station wagon,manual,0,150000,gasoline,peugeot,0.0,546
89345,80.0,1992,astra,limousine,manual,90,50000,gasoline,opel,1.0,546
43880,,16,focus,,manual,0,150000,gasoline,ford,,546
73260,70.0,2000,focus,station wagon,manual,101,150000,gasoline,ford,,546
97890,130.0,1998,a3,limousine,manual,125,150000,gasoline,audi,1.0,546
85740,80.0,1996,fiesta,small car,manual,55,5000,,ford,0.0,546
1655,60.0,2000,andere,limousine,manual,90,60000,gasoline,ford,0.0,546
97785,100.0,2004,c5,limousine,manual,0,5000,gasoline,citroen,1.0,546
23960,,1,mondeo,station wagon,manual,0,150000,gasoline,ford,0.0,546
56540,100.0,1998,corsa,small car,manual,54,150000,gasoline,opel,0.0,546
70285,100.0,2001,twingo,small car,manual,75,150000,gasoline,renault,1.0,546
73460,60.0,1997,golf,limousine,manual,65,150000,gasoline,volkswagen,,546
69185,,2016,colt,,manual,0,5000,,mitsubishi,,546
54495,80.0,1998,fiesta,small car,manual,75,125000,gasoline,ford,0.0,546
60760,150.0,2000,twingo,small car,auto,58,150000,gasoline,renault,1.0,546
95115,120.0,2001,lupo,small car,manual,50,150000,gasoline,volkswagen,1.0,546
67840,70.0,1996,astra,convertible,manual,71,150000,gasoline,opel,0.0,546
92155,40.0,1998,astra,convertible,manual,116,150000,gasoline,opel,0.0,546
78900,40.0,1994,escort,limousine,manual,90,150000,gasoline,ford,0.0,546
86650,80.0,1999,a_klasse,limousine,manual,82,150000,gasoline,mercedes_benz,0.0,546
61410,,2016,,,manual,60,5000,,citroen,,546
65540,90.0,2001,2_reihe,small car,manual,60,150000,gasoline,peugeot,0.0,546
31365,110.0,2000,polo,small car,manual,50,150000,gasoline,volkswagen,0.0,546
28760,80.0,1999,twingo,small car,manual,58,150000,gasoline,renault,0.0,546
36225,80.0,1996,,small car,manual,75,5000,gasoline,mitsubishi,,546
90055,70.0,1999,corsa,small car,manual,65,150000,gasoline,opel,,546
80120,,2016,polo,,manual,50,150000,gasoline,volkswagen,0.0,546
41815,90.0,1996,andere,small car,manual,39,150000,gasoline,fiat,0.0,546
72275,130.0,2000,ptcruiser,limousine,manual,141,150000,gasoline,chrysler,1.0,546
64880,100.0,1997,polo,small car,manual,60,150000,,volkswagen,0.0,546
59010,90.0,1996,corsa,small car,manual,50,150000,gasoline,opel,,546
82620,70.0,2000,2_reihe,small car,manual,0,150000,gasoline,peugeot,0.0,546
19570,70.0,1996,twingo,small car,manual,54,150000,gasoline,renault,0.0,546
17165,150.0,2000,andere,,manual,0,150000,gasoline,renault,1.0,546
92310,60.0,1999,bora,limousine,manual,0,150000,,volkswagen,,546
21895,60.0,1998,golf,limousine,manual,0,150000,gasoline,volkswagen,0.0,546
87565,70.0,1999,focus,limousine,manual,100,150000,gasoline,ford,0.0,546
29960,90.0,1994,vectra,limousine,manual,116,150000,gasoline,opel,1.0,546
6980,50.0,1997,polo,small car,manual,50,150000,gasoline,volkswagen,,546
71255,60.0,1990,,,manual,0,50000,gasoline,sonstige_autos,,546
17560,10.0,2016,andere,,,0,150000,,citroen,,546
21180,100.0,1995,1_reihe,small car,manual,75,90000,gasoline,peugeot,1.0,546
97185,10.0,2016,espace,,,140,150000,gasoline,renault,,546
80740,130.0,1999,focus,station wagon,manual,116,150000,gasoline,ford,1.0,546
7245,50.0,1997,polo,station wagon,manual,90,150000,gasoline,volkswagen,0.0,546
91035,60.0,1996,ibiza,small car,manual,70,150000,gasoline,seat,,546
94635,50.0,1997,corsa,small car,manual,40,150000,gasoline,opel,0.0,546
62085,80.0,2001,arosa,small car,manual,60,90000,gasoline,seat,1.0,546
5620,70.0,1996,,small car,manual,50,150000,gasoline,volkswagen,,546
81105,40.0,2002,rio,small car,manual,82,150000,gasoline,kia,0.0,546
6955,50.0,2000,3er,,manual,102,150000,gasoline,bmw,0.0,546
88495,,2016,,,manual,150,150000,,mitsubishi,,546
75360,70.0,1998,3er,station wagon,manual,0,150000,gasoline,bmw,0.0,546
26935,60.0,2000,punto,small car,manual,50,150000,,fiat,0.0,546
34550,60.0,1995,a4,limousine,manual,125,150000,gasoline,audi,,546
28260,100.0,2005,,,auto,0,150000,liquefied petroleum gas,daihatsu,,546
